"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:06.000]  Wszystkie słowa są jasne.
[01:02:27.500 --> 01:02:29.500]  Co tutaj?
[01:02:29.500 --> 01:02:31.500]  Fiorenta.
[01:02:33.500 --> 01:02:35.500]  Po co mi to dałem?
[01:02:35.500 --> 01:02:37.500]  Brałem. Dokładnie.
[01:02:37.500 --> 01:02:39.500]  Ok.
[01:02:43.500 --> 01:02:45.500]  Ok.
[01:02:45.500 --> 01:02:47.500]  Hmm... pierwsze.
[01:02:47.500 --> 01:02:49.500]  Spacerować.
[01:02:49.500 --> 01:02:51.500]  Spacerowałem.
[01:02:51.500 --> 01:02:53.500]  Czasownik jest dobrze.
[01:02:53.500 --> 01:02:55.500]  Po mieście.
[01:02:55.500 --> 01:02:57.500]  Teraz...
[01:02:57.500 --> 01:02:59.500]  Po mieście. Jak to robi?
[01:02:59.500 --> 01:03:01.500]  Po mieście.
[01:03:01.500 --> 01:03:03.500]  Si.
[01:03:03.500 --> 01:03:05.500]  Mhm.
[01:03:05.500 --> 01:03:07.500]  To ten. Mhm.
[01:03:07.500 --> 01:03:09.500]  Ci i e. Ok.
[01:03:09.500 --> 01:03:11.500]  Eeeem...
[01:03:11.500 --> 01:03:13.500]  Bardzo polsko słowo?
[01:03:13.500 --> 01:03:15.500]  A, nie. Ok, dobra.
[01:03:15.500 --> 01:03:17.500]  Eeeem...
[01:03:17.500 --> 01:03:19.500]  Ok, we can say wybiegu.
[01:03:19.500 --> 01:03:21.500]  Biegałem w wybiegu.
[01:03:21.500 --> 01:03:23.500]  W zawodach.
[01:03:23.500 --> 01:03:25.500]  Zawody?
[01:03:25.500 --> 01:03:27.500]  Tak? Mhm. Zawody. Competition.
[01:03:27.500 --> 01:03:29.500]  Albo wybiegu.
[01:03:29.500 --> 01:03:31.500]  Jakichś...
[01:03:31.500 --> 01:03:33.500]  Of something, something.
[01:03:33.500 --> 01:03:35.500]  Dobra.
[01:03:35.500 --> 01:03:37.500]  No dobrze.
[01:03:37.500 --> 01:03:39.500]  Mamy ile?
[01:03:39.500 --> 01:03:41.500]  To na danym działach?
[01:03:41.500 --> 01:03:43.500]  20 minut? Dobra. Czas jest ok.
[01:03:43.500 --> 01:03:45.500]  To teraz spróbujemy zrobić tak.
[01:03:45.500 --> 01:03:47.500]  Eeeem...
[01:03:47.500 --> 01:03:49.500]  Dobra.
[01:03:49.500 --> 01:03:51.500]  Dobra.
[01:03:51.500 --> 01:03:53.500]  Dobra.
[01:03:53.500 --> 01:03:55.500]  Zapraszam wszystkich tutaj.
[01:03:55.500 --> 01:03:57.500]  O. Zapraszam wszystkich.
[01:03:57.500 --> 01:03:59.500]  No i?
[01:03:59.500 --> 01:04:01.500]  I teraz tak.
[01:04:01.500 --> 01:04:03.500]  I teraz tak.
[01:04:03.500 --> 01:04:05.500]  O.
[01:04:05.500 --> 01:04:07.500]  Si.
[01:04:07.500 --> 01:04:09.500]  O.
[01:04:09.500 --> 01:04:11.500]  O.
[01:04:11.500 --> 01:04:13.500]  I teraz tak.
[01:04:13.500 --> 01:04:15.500]  I teraz tak.
[01:04:15.500 --> 01:04:17.500]  Eeeem...
[01:04:17.500 --> 01:04:19.500]  Każdy ma
[01:04:19.500 --> 01:04:21.500]  jedną część.
[01:04:21.500 --> 01:04:23.500]  To będzie jedna osoba, druga osoba,
[01:04:23.500 --> 01:04:25.500]  trzecia osoba, czwarta osoba.
[01:04:25.500 --> 01:04:27.500]  I każdy dostanie czasownik.
[01:04:27.500 --> 01:04:29.500]  Dobra. I teraz uwaga.
[01:04:29.500 --> 01:04:31.500]  Najpierw
[01:04:31.500 --> 01:04:33.500]  jeden czasownik
[01:04:33.500 --> 01:04:35.500]  robimy rodzaj męski
[01:04:35.500 --> 01:04:37.500]  i rodzaj męskoosobowy.
[01:04:37.500 --> 01:04:39.500]  Rodzaj męski, męskoosobowy,
[01:04:39.500 --> 01:04:41.500]  męski, męskoosobowy, męski
[01:04:41.500 --> 01:04:43.500]  i męskoosobowy.
[01:04:43.500 --> 01:04:45.500]  Drugi czasownik, rodzaj żeński,
[01:04:45.500 --> 01:04:47.500]  nie męskoosobowy.
[01:04:47.500 --> 01:04:49.500]  Ok?
[01:04:49.500 --> 01:04:51.500]  Czyli tak. Najpierw każdy dostanie jeden czasownik.
[01:04:51.500 --> 01:04:53.500]  Everyone will get one verb.
[01:04:53.500 --> 01:04:55.500]  Ok?
[01:04:55.500 --> 01:04:57.500]  I robimy rodzaj męski,
[01:04:57.500 --> 01:04:59.500]  liczba pojedyncza,
[01:04:59.500 --> 01:05:01.500]  rodzaj męski singular,
[01:05:01.500 --> 01:05:03.500]  rodzaj męskoosobowy, liczba mnoga.
[01:05:03.500 --> 01:05:05.500]  Czyli na przykład robiliśmy.
[01:05:05.500 --> 01:05:07.500]  Robiliście.
[01:05:07.500 --> 01:05:09.500]  Dobra.
[01:05:09.500 --> 01:05:11.500]  Spróbujemy.
[01:05:17.500 --> 01:05:19.500]  Dobra.
[01:05:19.500 --> 01:05:21.500]  Możesz wybrać część.
[01:05:21.500 --> 01:05:23.500]  You can choose your
[01:05:23.500 --> 01:05:25.500]  part.
[01:05:25.500 --> 01:05:27.500]  Board.
[01:05:27.500 --> 01:05:29.500]  Męski, męskoosobowy,
[01:05:29.500 --> 01:05:31.500]  męski, męskoosobowy, męski, męskoosobowy.
[01:05:31.500 --> 01:05:33.500]  Hasn't has?
[01:05:33.500 --> 01:05:35.500]  Hasn't has.
[01:05:35.500 --> 01:05:37.500]  Good question.
[01:05:37.500 --> 01:05:39.500]  I thought it was going to be easy.
[01:05:47.500 --> 01:06:08.000]  Dziitos
[01:06:17.500 --> 01:06:25.880]  Ok, możemy najpierw męski i męskosobowy.
[01:06:26.820 --> 01:06:27.480]  Żeński będzie najwyższy.
[01:06:27.480 --> 01:06:28.900]  Oh, we see the second verb.
[01:06:29.060 --> 01:06:30.980]  Yeah, we will do this. Ok, znowu do mory, do powrotu.
[01:06:40.480 --> 01:06:41.300]  Ale jest dobrze.
[01:06:47.500 --> 01:07:01.360]  Ok, dobra, próbujemy drugi czopownik.
[01:07:17.500 --> 01:07:42.040]  I jeszcze raz.
[01:07:42.040 --> 01:07:43.540]  Second verb.
[01:07:44.020 --> 01:07:44.700]  Second verb.
[01:07:45.860 --> 01:07:46.460]  Second verb.
[01:07:47.500 --> 01:07:48.500]  I second verb.
[01:07:50.500 --> 01:07:51.000]  Przepraszam.
[01:07:51.000 --> 01:07:51.500]  Czekaj.
[01:07:52.900 --> 01:07:54.100]  No, to możemy...
[01:07:54.600 --> 01:07:57.000]  ...dobre.
[01:07:58.300 --> 01:07:59.200]  I second verb.
[01:08:00.000 --> 01:08:01.700]  Czyli rodzaj żeński.
[01:08:02.000 --> 01:08:02.500]  Ok.
[01:08:17.500 --> 01:08:18.400]  Ok, macam nie Hundred日.
[01:08:18.400 --> 01:08:18.900]  Tak?
[01:08:19.500 --> 01:08:19.720]  Tak, proszę bardzo.
[01:08:19.720 --> 01:08:20.800]  Zaj rezultatem był to��면 ten.
[01:08:20.800 --> 01:08:23.800]  To nie chodził nam� hasty ב ciud Cafe , bo Tracy nie marque, bo ja teknologicznie już tam byłam.
[01:08:23.800 --> 01:08:42.260]  Mówiłem, bo différentesuksy są bezdanowe, lecz nie każdy photobuffert, bo chosenujesz sobie
[01:08:42.260 --> 01:08:44.860]  wyолет z Krakowa do Batyka na Krakowie.
[01:08:44.860 --> 01:08:45.900]  Jak brushes responses.
[01:08:45.900 --> 01:08:46.080]  Tak.
[01:08:46.080 --> 01:08:46.720]  Kto to miał?
[01:08:46.720 --> 01:08:47.100]  Ta?
[01:08:47.100 --> 01:08:47.160]  No?
[01:08:47.160 --> 01:08:47.340]  Tak.
[01:08:47.340 --> 01:08:47.420]  Tak.
[01:08:47.420 --> 01:08:47.480]  Tak.
[01:08:47.500 --> 01:08:49.500]  Czy to było?
[01:08:49.500 --> 01:08:51.500]  Mhm.
[01:08:51.500 --> 01:08:53.500]  Super.
[01:08:53.500 --> 01:08:55.500]  O,
[01:08:55.500 --> 01:08:57.500]  bardzo dobrze.
[01:08:57.500 --> 01:08:59.500]  No, super.
[01:08:59.500 --> 01:09:01.500]  O,
[01:09:01.500 --> 01:09:03.500]  czy...
[01:09:03.500 --> 01:09:05.500]  czy chcesz spróbować innego wyraża?
[01:09:05.500 --> 01:09:07.500]  Może?
[01:09:07.500 --> 01:09:09.500]  To jest ok, ale...
[01:09:09.500 --> 01:09:11.500]  Ok, jest ok, jest ok.
[01:09:11.500 --> 01:09:13.500]  No dobra, no to próbujemy.
[01:09:13.500 --> 01:09:15.500]  Czytałem, czytałem, czytam.
[01:09:15.500 --> 01:09:17.500]  Dobra, czytaliśmy,
[01:09:17.500 --> 01:09:19.500]  czytaliście, czytaliście.
[01:09:19.500 --> 01:09:21.500]  To jest dobrze.
[01:09:21.500 --> 01:09:23.500]  A tu? Czego tu brakuje?
[01:09:23.500 --> 01:09:25.500]  Zobaczmy tutaj.
[01:09:25.500 --> 01:09:27.500]  Tak.
[01:09:27.500 --> 01:09:29.500]  Na pewno.
[01:09:29.500 --> 01:09:31.500]  Ok.
[01:09:35.500 --> 01:09:37.500]  Sekundę.
[01:09:37.500 --> 01:09:39.500]  O, czekam, czekam, czekam.
[01:09:45.500 --> 01:09:47.500]  Tamci liśm.
[01:09:47.500 --> 01:09:49.500]  Nie wiem, czy to jest dobrze.
[01:09:49.500 --> 01:09:51.500]  To może się spowiedzieć?
[01:09:51.500 --> 01:09:53.500]  Tamci liśm.
[01:09:53.500 --> 01:09:55.500]  Liśm.
[01:09:55.500 --> 01:09:57.500]  Liśm.
[01:09:57.500 --> 01:09:59.500]  Mówisz dobrze, ale piszesz.
[01:09:59.500 --> 01:10:01.500]  Nie, to jest ok.
[01:10:01.500 --> 01:10:03.500]  Tak, tak, tak.
[01:10:03.500 --> 01:10:05.500]  Aha.
[01:10:05.500 --> 01:10:07.500]  O,
[01:10:07.500 --> 01:10:09.500]  o, ok.
[01:10:09.500 --> 01:10:11.500]  O,
[01:10:11.500 --> 01:10:13.500]  o, ok, ok.
[01:10:13.500 --> 01:10:15.500]  Tak, tak, tak.
[01:10:15.500 --> 01:10:17.500]  Ładnie.
[01:10:17.500 --> 01:10:19.500]  Mhm.
[01:10:19.500 --> 01:10:21.500]  Co się zmienia?
[01:10:21.500 --> 01:10:23.500]  Tutaj mamy li.
[01:10:23.500 --> 01:10:25.500]  A tu mamy co?
[01:10:27.500 --> 01:10:29.500]  La, va, ve.
[01:10:29.500 --> 01:10:31.500]  Ve.
[01:10:31.500 --> 01:10:33.500]  Mhm.
[01:10:33.500 --> 01:10:35.500]  Tamci, ve, tamci, ve.
[01:10:35.500 --> 01:10:37.500]  O, to było dobrze.
[01:10:37.500 --> 01:10:39.500]  Biegałyśmy, biegałyśmy.
[01:10:39.500 --> 01:10:41.500]  I teraz tutaj mamy ręka.
[01:10:41.500 --> 01:10:43.500]  Łaś, biegałaś, biegałaś.
[01:10:43.500 --> 01:10:45.500]  Łaś, biegałaś.
[01:10:45.500 --> 01:10:47.500]  Biegaliśmy.
[01:10:47.500 --> 01:10:49.500]  Biegaliście.
[01:10:49.500 --> 01:10:51.500]  Bie...
[01:10:51.500 --> 01:10:53.500]  ga...li.
[01:10:53.500 --> 01:10:55.500]  To jest dobrze.
[01:10:55.500 --> 01:10:57.500]  Tańczyłam, tańczyłam, tańczyłam, tańczyłam.
[01:10:57.500 --> 01:10:59.500]  Tańczyłyście, tańczyłyście, tańczyłyście.
[01:10:59.500 --> 01:11:01.500]  Ok.
[01:11:01.500 --> 01:11:03.500]  Piłem, piłeś, piłem.
[01:11:03.500 --> 01:11:05.500]  Piliśmy, piliście, pili...
[01:11:05.500 --> 01:11:07.500]  jadłyśmy, jadłyście.
[01:11:07.500 --> 01:11:09.500]  Super.
[01:11:09.500 --> 01:11:11.500]  Malowały, malowałyś, malowałyś.
[01:11:11.500 --> 01:11:13.500]  Malowały.
[01:11:13.500 --> 01:11:15.500]  Malowały.
[01:11:15.500 --> 01:11:17.500]  Mamy...
[01:11:19.500 --> 01:11:21.500]  Zmiana.
[01:11:21.500 --> 01:11:23.500]  Czyli tutaj będzie
[01:11:23.500 --> 01:11:25.500]  nie męskoosobowe, ale będzie męskoosobowe.
[01:11:25.500 --> 01:11:27.500]  Tak, mam na to na połączenie.
[01:11:27.500 --> 01:11:29.500]  Ok. Malowałyśmy, malowałyście, malowały.
[01:11:29.500 --> 01:11:31.500]  Malowałyśmy.
[01:11:31.500 --> 01:11:33.500]  To, to, to idzie do S.
[01:11:33.500 --> 01:11:35.500]  To jest dobrze?
[01:11:35.500 --> 01:11:37.500]  Czyli
[01:11:37.500 --> 01:11:39.500]  SI, CI i
[01:11:39.500 --> 01:11:41.500]  SI. Ok.
[01:11:41.500 --> 01:11:43.500]  Słuchaliśmy, słuchaliście, słuchali.
[01:11:43.500 --> 01:11:45.500]  Słuchałam, słuchała, słuchała.
[01:11:45.500 --> 01:11:50.500]  No dobrze. Jeszcze jedno albo jeszcze więcej.
[01:11:50.500 --> 01:11:53.500]  Dobra, to poproszę te czasowniki w jedno miejsce.
[01:11:53.500 --> 01:12:00.500]  Dobra. I czasowniki.
[01:12:00.500 --> 01:12:04.500]  O tutaj, dobra. To mamy dalej.
[01:12:04.500 --> 01:12:07.500]  Jeszcze raz.
[01:12:07.500 --> 01:12:11.500]  I jeszcze raz.
[01:12:15.500 --> 01:12:20.500]  Dobra, tutaj robimy jednak węzło słabowe.
[01:12:45.500 --> 01:12:49.500]  Dobra.
[01:12:49.500 --> 01:12:50.500]  Z czuląg.
[01:12:50.500 --> 01:12:53.500]  Z czuląg, dobra. To zrobię tak.
[01:12:53.500 --> 01:12:57.500]  Dobra, tam też mam, przesuwają. Dobra.
[01:13:15.500 --> 01:13:39.500]  Super.
[01:13:39.500 --> 01:13:42.500]  To będzie drugi.
[01:13:42.500 --> 01:13:44.500]  Może nie. Będzie ten.
[01:13:44.500 --> 01:13:47.500]  Będzie ten.
[01:13:47.500 --> 01:13:49.500]  Dobra, możemy zmienić czasownik?
[01:13:49.500 --> 01:13:51.500]  Możemy inny czasownik dać?
[01:13:51.500 --> 01:13:53.500]  Inny czasownik i będzie ten.
[01:13:53.500 --> 01:13:54.500]  A, okej.
[01:13:54.500 --> 01:13:56.500]  Okej.
[01:13:56.500 --> 01:13:58.500]  Jeszcze raz.
[01:14:14.500 --> 01:14:17.500]  Dobra, dam się raz.
[01:14:17.500 --> 01:14:21.500]  I teraz Forum rasρów czystym.
[01:14:23.500 --> 01:14:26.500]  No voudlimy palec.
[01:14:26.500 --> 01:14:28.500]  No dobrze.
[01:14:28.500 --> 01:14:30.500]  Decyzja ile?
[01:14:30.500 --> 01:14:33.500]  Dold severed.
[01:14:33.500 --> 01:14:36.500]  Na pewno.
[01:14:36.500 --> 01:14:39.500]  Tu mamy bielka tomar.
[01:14:42.500 --> 01:14:44.140]  Dobra.
[01:14:44.500 --> 01:15:04.460]  Dobra, to jest dobrze.
[01:15:14.500 --> 01:15:24.500]  Okej, prawie.
[01:15:24.500 --> 01:15:34.500]  Czyli nie ły, tylko trochę liny.
[01:15:34.500 --> 01:15:42.500]  Nie ły, tylko trochę liny.
[01:15:42.500 --> 01:15:46.500]  Nie ły, tylko trochę liny.
[01:16:12.500 --> 01:16:24.500]  Nie ły, tylko trochę liny.
[01:16:24.500 --> 01:16:32.500]  Nie ły, tylko trochę liny.
[01:16:32.500 --> 01:16:38.500]  Wszystko dobrze, dobrze.
[01:16:38.500 --> 01:16:40.500]  Tak.
[01:16:40.500 --> 01:16:42.500]  Dobrze, dobrze.
[01:16:42.500 --> 01:16:51.180]  Prawie.
[01:16:52.280 --> 01:16:53.120]  Tutaj nam brakuje.
[01:16:53.400 --> 01:16:55.740]  Zmiany do ły.
[01:16:56.740 --> 01:16:58.080]  Czyli tutaj mamy li,
[01:16:58.280 --> 01:17:00.780]  a tutaj mamy ły.
[01:17:01.080 --> 01:17:01.820]  To mamy dobrze.
[01:17:02.100 --> 01:17:02.620]  To jest ok.
[01:17:02.620 --> 01:17:03.680]  A tu?
[01:17:05.500 --> 01:17:06.940]  Tutaj zmieniamy y.
[01:17:08.700 --> 01:17:09.640]  A tutaj mamy y.
[01:17:10.880 --> 01:17:11.800]  I dobrze.
[01:17:11.800 --> 01:17:12.820]  To jest dobrze.
[01:17:21.540 --> 01:17:22.180]  Dobra.
[01:17:22.880 --> 01:17:24.060]  Super, udało się.
[01:17:24.200 --> 01:17:24.780]  Zdaliśmy radę.
[01:17:33.620 --> 01:17:35.300]  No i to wszystko na razie.
[01:17:35.860 --> 01:17:38.320]  Możemy sobie usiąść i idziemy dalej.
[01:17:41.800 --> 01:17:42.900]  Proszę o üstę.
[01:17:49.900 --> 01:17:51.700]  Jak działem się hadą na przykład na imię Boga?
[01:17:51.980 --> 01:17:53.300]  Muszę to taki taki...
[01:17:53.560 --> 01:17:58.520]  I ja sam mam wątpienie jak tam nurse już się zdawal i nie wiem co tam że ja tam dostałam.
[01:17:58.520 --> 01:17:59.620]  Damn!
[01:18:00.160 --> 01:18:02.880] 音 podJul, słucham Jesteś taki dobry...
[01:18:03.160 --> 01:18:05.560]  Jak pozwolnising raz nie绘اł sie chyt어나ć?
[01:18:05.840 --> 01:18:07.740]  No to się fans där utrwiСТy losły,
[01:18:07.740 --> 01:18:09.120]  Wielko dała się to poprawić,
[01:18:09.620 --> 01:18:10.640]  sumki sono doskonali Mittospி Golf,
[01:18:10.640 --> 01:18:11.320]  ale wydaje mi się, że tenaza Noise,
[01:18:11.320 --> 01:18:11.800]  jest taki pięknie.
[01:18:11.800 --> 01:18:13.800]  Mam nadzieję, że to jest nieco inny temat.
[01:18:13.800 --> 01:18:15.800]  Wiem, że pamiętam, ale...
[01:18:15.800 --> 01:18:17.800]  nigdy nie wiesz.
[01:18:17.800 --> 01:18:19.800]  To o tym chodzi.
[01:18:27.800 --> 01:18:29.800]  Zabrałam tylko nieodpłatne.
[01:18:29.800 --> 01:18:31.800]  Nie, masz też
[01:18:31.800 --> 01:18:33.800]  wskaz, co jest nieodpłatne.
[01:18:33.800 --> 01:18:35.800]  Tak, okej.
[01:18:35.800 --> 01:18:37.800]  Ale dałam to na papier, bo to zrobiliśmy.
[01:18:37.800 --> 01:18:39.800]  Tak, oczywiście.
[01:18:39.800 --> 01:18:41.800]  Ale nie mamy
[01:18:43.800 --> 01:18:45.800]  bardzo rzadkich, nieodpłatnych
[01:18:45.800 --> 01:18:47.800]  wskazów.
[01:18:47.800 --> 01:18:49.800]  Na przykład 15.
[01:18:49.800 --> 01:18:51.800]  O, 15.
[01:18:51.800 --> 01:18:53.800]  No dobrze, daliśmy radę.
[01:18:53.800 --> 01:18:55.800]  Czy wszystkie?
[01:18:55.800 --> 01:18:57.800]  Wszystko dali?
[01:18:57.800 --> 01:18:59.800]  Dobra, mamy 5 minut.
[01:18:59.800 --> 01:19:01.800]  Korzystaj jeszcze z bożonek.
[01:19:01.800 --> 01:19:03.800]  Wracamy tutaj
[01:19:03.800 --> 01:19:05.800]  i wracamy
[01:19:05.800 --> 01:19:07.800]  do zadania
[01:19:07.800 --> 01:19:09.800]  12.
[01:19:09.800 --> 01:19:11.800]  Zadanie 12.
[01:19:13.800 --> 01:19:15.800]  Zadanie 12.
[01:19:23.800 --> 01:19:25.800]  Okej.
[01:19:25.800 --> 01:19:27.800]  Tu możemy
[01:19:27.800 --> 01:19:29.800]  zobaczyć
[01:19:29.800 --> 01:19:31.800]  w tej ramce,
[01:19:31.800 --> 01:19:33.800]  jak długo
[01:19:33.800 --> 01:19:35.800]  coś robiliśmy.
[01:19:35.800 --> 01:19:37.800]  Okej, dobrze.
[01:19:37.800 --> 01:19:39.800]  Mówiliśmy ostatnio,
[01:19:39.800 --> 01:19:41.800]  kiedy używać
[01:19:41.800 --> 01:19:43.800]  których form,
[01:19:43.800 --> 01:19:45.800]  na przykład
[01:19:45.800 --> 01:19:47.800]  chodzić, pójść.
[01:19:47.800 --> 01:19:49.800]  Okej.
[01:19:49.800 --> 01:19:51.800]  Dobrze.
[01:19:51.800 --> 01:19:53.800]  Kiedy używamy
[01:19:53.800 --> 01:19:55.800]  chodziłem,
[01:19:55.800 --> 01:19:57.800]  a kiedy
[01:19:57.800 --> 01:19:59.800]  używamy poszedłem?
[01:19:59.800 --> 01:20:01.800]  Tryb i kończ.
[01:20:01.800 --> 01:20:03.800]  Jeszcze raz.
[01:20:03.800 --> 01:20:05.800]  Kiedy używamy
[01:20:05.800 --> 01:20:07.800]  chodziłem,
[01:20:07.800 --> 01:20:09.800]  a kiedy używamy
[01:20:09.800 --> 01:20:11.800]  poszedłem?
[01:20:11.800 --> 01:20:13.800]  I was going
[01:20:13.800 --> 01:20:15.800]  and I went, right?
[01:20:15.800 --> 01:20:17.800]  Okej.
[01:20:17.800 --> 01:20:19.800]  Przykład?
[01:20:19.800 --> 01:20:21.800]  Yesterday I was going...
[01:20:21.800 --> 01:20:23.800]  Po polsku?
[01:20:23.800 --> 01:20:25.800]  Sorry.
[01:20:25.800 --> 01:20:27.800]  Po polsku.
[01:20:27.800 --> 01:20:29.800]  Wczoraj chodziłem
[01:20:29.800 --> 01:20:31.800]  do kina.
[01:20:31.800 --> 01:20:33.800]  Na kina?
[01:20:33.800 --> 01:20:35.800]  Do kinie.
[01:20:35.800 --> 01:20:37.800]  Do kina, ale nie chodziłem.
[01:20:37.800 --> 01:20:39.800]  Idę?
[01:20:39.800 --> 01:20:41.800]  No.
[01:20:41.800 --> 01:20:43.800]  No, not
[01:20:43.800 --> 01:20:45.800]  czas przeszły.
[01:20:45.800 --> 01:20:47.800]  Idę would be
[01:20:47.800 --> 01:20:49.800]  pój, poszedłem.
[01:20:49.800 --> 01:20:51.800]  Aha.
[01:20:51.800 --> 01:20:53.800]  There is a more important
[01:20:53.800 --> 01:20:55.800]  part that you
[01:20:55.800 --> 01:20:57.800]  use poszedłem
[01:20:57.800 --> 01:20:59.800]  when you're like
[01:20:59.800 --> 01:21:01.800]  going there once
[01:21:01.800 --> 01:21:03.800]  and then chodziłem is like
[01:21:03.800 --> 01:21:05.800]  when you were going there like
[01:21:05.800 --> 01:21:07.800]  to i ja bym ja dał to za
[01:21:07.800 --> 01:21:09.800]  to i ja żebym ja dał to
[01:21:09.800 --> 01:21:11.800]  to i ja bym ja dał to.
[01:21:11.800 --> 01:21:13.800]  Tak?
[01:21:13.800 --> 01:21:15.800]  Tak.
[01:21:15.800 --> 01:21:17.800]  Tak.
[01:21:17.800 --> 01:21:19.800]  Dobra.
[01:21:19.800 --> 01:21:21.800]  Wczoraj
[01:21:21.800 --> 01:21:23.800]  poszedłem.
[01:21:23.800 --> 01:21:25.800]  To jest rodzaj męski.
[01:21:25.800 --> 01:21:27.800]  A jak to jest, jak jest rodzaj
[01:21:27.800 --> 01:21:29.800]  żecki od tego słowa?
[01:21:29.800 --> 01:21:31.800]  Odszedła.
[01:21:31.800 --> 01:21:33.800]  Poszłam.
[01:21:33.800 --> 01:21:35.800]  Poszłam.
[01:21:35.800 --> 01:21:37.800]  Dobra.
[01:21:37.800 --> 01:21:39.800]  To było w tym.
[01:21:39.800 --> 01:21:41.800]  To było gdzieś oczywiście.
[01:21:41.800 --> 01:21:43.800]  To jest ważne.
[01:21:43.800 --> 01:21:45.800]  Czyli wczoraj poszedłem do kina.
[01:21:45.800 --> 01:21:47.800]  Once.
[01:21:47.800 --> 01:21:49.800]  Wczoraj.
[01:21:49.800 --> 01:21:51.800]  I went and back.
[01:21:51.800 --> 01:21:53.800]  Mam pytanie.
[01:21:53.800 --> 01:21:55.800]  Jeśli mówisz, że chcesz
[01:21:55.800 --> 01:21:57.800]  gdzieś
[01:21:57.800 --> 01:21:59.800]  powinieneś powiedzieć
[01:21:59.800 --> 01:22:01.800]  jak tam poszedłeś?
[01:22:01.800 --> 01:22:03.800]  Jakbyś powiedział, że chcę
[01:22:03.800 --> 01:22:05.800]  poszedłem
[01:22:05.800 --> 01:22:07.800]  do Tarnów.
[01:22:07.800 --> 01:22:09.800]  Tak?
[01:22:09.800 --> 01:22:11.800]  Czy to normalne, żeby powiedzieć
[01:22:11.800 --> 01:22:13.800]  poszedłem do Tarnów?
[01:22:13.800 --> 01:22:15.800]  Do Tarnów?
[01:22:15.800 --> 01:22:17.800]  Do miasta?
[01:22:17.800 --> 01:22:19.800]  Tak. Ale czy to dziwne?
[01:22:19.800 --> 01:22:21.800]  Czy powinieneś powiedzieć
[01:22:21.800 --> 01:22:23.800]  słowo, żebym
[01:22:23.800 --> 01:22:25.800]  przyjechał na tren?
[01:22:25.800 --> 01:22:27.800]  Tak, bo
[01:22:27.800 --> 01:22:29.800]  nie myślę, że jest to fizyczne
[01:22:29.800 --> 01:22:31.800]  żebym mógł iść do Tarnów.
[01:22:31.800 --> 01:22:33.800]  Możesz iść, ale to będzie
[01:22:33.800 --> 01:22:35.800]  trochę...
[01:22:35.800 --> 01:22:37.800]  To znaczy, że to znaczy
[01:22:37.800 --> 01:22:39.800]  chodzić.
[01:22:39.800 --> 01:22:41.800]  Tak.
[01:22:41.800 --> 01:22:43.800]  Poszedłem. To znaczy, że...
[01:22:43.800 --> 01:22:45.800]  To jest tylko jak kolsko.
[01:22:45.800 --> 01:22:47.800]  Tak.
[01:22:47.800 --> 01:22:49.800]  A do Tarnów
[01:22:49.800 --> 01:22:51.800]  jak? Pociągiem?
[01:22:51.800 --> 01:22:53.800]  Pociągiem.
[01:22:53.800 --> 01:22:55.800]  Pociągiem.
[01:22:55.800 --> 01:22:57.800]  Po samochód?
[01:22:57.800 --> 01:22:59.800]  Po samochód.
[01:22:59.800 --> 01:23:01.800]  Ok, więc poszedłem.
[01:23:01.800 --> 01:23:03.800]  Co mówisz?
[01:23:03.800 --> 01:23:05.800]  Tak, zapomniałem
[01:23:05.800 --> 01:23:07.800]  tego słowa.
[01:23:07.800 --> 01:23:09.800]  Pojechałem.
[01:23:09.800 --> 01:23:11.800]  Pojechałem.
[01:23:11.800 --> 01:23:13.800]  Pojechałem.
[01:23:13.800 --> 01:23:15.800]  Poszedłem. Zawsze w miejscu, gdzie chodzę.
[01:23:15.800 --> 01:23:17.800]  Pojechałem. Zawsze
[01:23:17.800 --> 01:23:19.800]  coś z...
[01:23:19.800 --> 01:23:21.800]  Nie wiem.
[01:23:21.800 --> 01:23:23.800]  Z drzwi, tak bym powiedziała.
[01:23:23.800 --> 01:23:25.800]  Pojechałem na rowerze, pojechałem
[01:23:25.800 --> 01:23:27.800]  pociągiem, pojechałem autobusem,
[01:23:27.800 --> 01:23:29.800]  samochodem, tramwajem.
[01:23:29.800 --> 01:23:31.800]  Samolotem?
[01:23:31.800 --> 01:23:33.800]  Samolotem, tak. Bo ty pojechasz.
[01:23:33.800 --> 01:23:35.800]  Czyli poleciałem.
[01:23:35.800 --> 01:23:37.800]  Ok, proszę.
[01:23:37.800 --> 01:23:39.800]  Dobra.
[01:23:39.800 --> 01:23:41.800]  Ok, czyli wczoraj poszedłem
[01:23:41.800 --> 01:23:43.800]  do kina, a
[01:23:43.800 --> 01:23:45.800]  w zeszłym roku
